Change Component Footprint: Designator=P100 Old Footprint=HDR1X2H New Footprint=HDR1X2
Change Physical Footprint: Designator=ANT300 Old Footprint=2.4Ghz Antenna New Footprint=2.4Ghz Antenna
Change Physical Footprint: Designator=C100 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C101 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C102 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C103 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C104 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C200 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C201 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C202 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C203 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C204 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C205 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C206 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C207 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C208 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C300 Old Footprint=CAP_0402 New Footprint=CAP_0402
Change Physical Footprint: Designator=C301 Old Footprint=CAP_0402 New Footprint=CAP_0402
Change Physical Footprint: Designator=C302 Old Footprint=CAP_0402 New Footprint=CAP_0402
Change Physical Footprint: Designator=C303 Old Footprint=CAP_0402 New Footprint=CAP_0402
Change Physical Footprint: Designator=C304 Old Footprint=CAP_0402 New Footprint=CAP_0402
Change Physical Footprint: Designator=C305 Old Footprint=CAP_0402 New Footprint=CAP_0402
Change Physical Footprint: Designator=C306 Old Footprint=CAP_0402 New Footprint=CAP_0402
Change Physical Footprint: Designator=C307 Old Footprint=CAP_0402 New Footprint=CAP_0402
Change Physical Footprint: Designator=C308 Old Footprint=CAP_0402 New Footprint=CAP_0402
Change Physical Footprint: Designator=C309 Old Footprint=CAP_0402 New Footprint=CAP_0402
Change Physical Footprint: Designator=D100 Old Footprint=SOT-23_L New Footprint=SOT-23_L
Change Physical Footprint: Designator=D101 Old Footprint=STM-SOT23-6L_V New Footprint=STM-SOT23-6L_V
Change Physical Footprint: Designator=D102 Old Footprint=LED_0603 New Footprint=LED_0603
Change Physical Footprint: Designator=D103 Old Footprint=SOT-23_L New Footprint=SOT-23_L
Change Physical Footprint: Designator=D104 Old Footprint=SOT-23_L New Footprint=SOT-23_L
Change Physical Footprint: Designator=D200 Old Footprint=LED_0603 New Footprint=LED_0603
Change Physical Footprint: Designator=D201 Old Footprint=LED_0603 New Footprint=LED_0603
Change Physical Footprint: Designator=FB100 Old Footprint=FP-BLM18-0_15-t0_8-IPC_A New Footprint=FP-BLM18-0_15-t0_8-IPC_A
Change Physical Footprint: Designator=J100 Old Footprint=USB Micro B New Footprint=USB Micro B
Change Physical Footprint: Designator=J101 Old Footprint=Header_3 New Footprint=Header_3
Change Physical Footprint: Designator=L300 Old Footprint=IND_0402 New Footprint=IND_0402
Change Physical Footprint: Designator=L301 Old Footprint=IND_0402 New Footprint=IND_0402
Change Physical Footprint: Designator=L302 Old Footprint=IND_0402 New Footprint=IND_0402
Change Physical Footprint: Designator=LS200 Old Footprint=Buzzer New Footprint=Buzzer
Change Physical Footprint: Designator=P200 Old Footprint=HDR2X3 New Footprint=HDR2X3
Change Physical Footprint: Designator=P300 Old Footprint=HRS-U.FL-R-SMT-3_V New Footprint=HRS-U.FL-R-SMT-3_V
Change Physical Footprint: Designator=Q200 Old Footprint=SOT23_L New Footprint=SOT23_L
Change Physical Footprint: Designator=R100 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R101 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R102 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R200 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R201 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R202 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R203 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R204 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R205 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R206 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R207 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R208 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R300 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R301 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=S200 Old Footprint=TactileSwitch6x6 New Footprint=TactileSwitch6x6
Change Physical Footprint: Designator=S201 Old Footprint=TactileSwitch6x6 New Footprint=TactileSwitch6x6
Change Physical Footprint: Designator=S202 Old Footprint=TactileSwitch6x6 New Footprint=TactileSwitch6x6
Change Physical Footprint: Designator=SB300 Old Footprint=Solder bridge RF 0.254 New Footprint=Solder bridge RF 0.254
Change Physical Footprint: Designator=U200 Old Footprint=STM-LQFP48_M New Footprint=STM-LQFP48_M
Change Physical Footprint: Designator=U300 Old Footprint=QFN20 4x4 New Footprint=QFN20 4x4
Change Physical Footprint: Designator=VR100 Old Footprint=SOT23-5 New Footprint=SOT23-5
Change Physical Footprint: Designator=VR101 Old Footprint=SOP127P600-8N New Footprint=SOP127P600-8N
Change Physical Footprint: Designator=XTAL200 Old Footprint=16Mhz_Crystal New Footprint=16Mhz_Crystal
Change Physical Footprint: Designator=XTAL300 Old Footprint=16Mhz_Crystal New Footprint=16Mhz_Crystal
